timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,Latency,Encoding,SampleCount,ErrorCount,IdleTime
1389880516832,552,S03 - T01 - Launch,200,"Number of samples in transaction : 1, number of failing samples : 0",S03-BugClub-Pupil Scenario 3-1,,true,,95416,6,8,0,ISO-8859-1,1,0,249
1389880517168,472,S03 - T01 - Launch,200,"Number of samples in transaction : 1, number of failing samples : 0",S03-BugClub-Pupil Scenario 3-3,,true,,95416,6,8,0,ISO-8859-1,1,0,28
1389880517010,564,S03 - T01 - Launch,200,"Number of samples in transaction : 1, number of failing samples : 0",S03-BugClub-Pupil Scenario 3-2,,true,,95416,6,8,0,ISO-8859-1,1,0,70
1389880516730,577,S01 - T01 Launch application,200,"Number of samples in transaction : 1, number of failing samples : 0",S01-BugClub-Admin Scenario 1-1,,true,,211928,1,8,0,ISO-8859-1,1,0,347
1389880517327,286,S03 - T01 - Launch,200,"Number of samples in transaction : 1, number of failing samples : 0",S03-BugClub-Pupil Scenario 3-4,,true,,95417,6,8,0,ISO-8859-1,1,0,39
1389880517453,262,S03 - T01 - Launch,200,"Number of samples in transaction : 1, number of failing samples : 0",S03-BugClub-Pupil Scenario 3-5,,true,,95416,6,8,0,ISO-8859-1,1,0,23
1389880516743,680,S02 - T01 Launch the application,200,"Number of samples in transaction : 2, number of failing samples : 0",S02-BugClub-Teacher Scenario 2-1,,true,,99347,1,9,0,ISO-8859-1,1,0,359
1389880517595,257,S03 - T01 - Launch,200,"Number of samples in transaction : 1, number of failing samples : 0",S03-BugClub-Pupil Scenario 3-6,,true,,95416,8,10,0,ISO-8859-1,1,0,59
1389880517756,218,S03 - T01 - Launch,200,"Number of samples in transaction : 1, number of failing samples : 0",S03-BugClub-Pupil Scenario 3-7,,true,,95417,9,11,0,ISO-8859-1,1,0,68
1389880517883,245,S03 - T01 - Launch,200,"Number of samples in transaction : 1, number of failing samples : 0",S03-BugClub-Pupil Scenario 3-8,,true,,95416,9,11,0,ISO-8859-1,1,0,21
1389880518033,652,S03 - T01 - Launch,200,"Number of samples in transaction : 1, number of failing samples : 0",S03-BugClub-Pupil Scenario 3-9,,true,,95415,10,12,0,ISO-8859-1,1,0,30
1389880518154,603,S03 - T01 - Launch,200,"Number of samples in transaction : 1, number of failing samples : 0",S03-BugClub-Pupil Scenario 3-10,,true,,95418,10,12,0,ISO-8859-1,1,0,23
1389880517916,1646,S03 - T02 - Login,200,"Number of samples in transaction : 10, number of failing samples : 0",S03-BugClub-Pupil Scenario 3-6,,true,,34582,10,12,0,ISO-8859-1,1,0,104
1389880518045,1585,S03 - T02 - Login,200,"Number of samples in transaction : 10, number of failing samples : 0",S03-BugClub-Pupil Scenario 3-7,,true,,34571,10,12,0,ISO-8859-1,1,0,35
1389880517685,1950,S03 - T02 - Login,200,"Number of samples in transaction : 10, number of failing samples : 0",S03-BugClub-Pupil Scenario 3-1,,true,,34314,10,12,0,ISO-8859-1,1,0,27
1389880517707,1820,S03 - T02 - Login,200,"Number of samples in transaction : 10, number of failing samples : 0",S03-BugClub-Pupil Scenario 3-3,,true,,35476,10,12,0,ISO-8859-1,1,0,133
1389880517741,1992,S03 - T02 - Login,200,"Number of samples in transaction : 10, number of failing samples : 0",S03-BugClub-Pupil Scenario 3-5,,true,,34665,10,12,0,ISO-8859-1,1,0,17
1389880518152,1730,S03 - T02 - Login,200,"Number of samples in transaction : 10, number of failing samples : 0",S03-BugClub-Pupil Scenario 3-8,,true,,34567,10,12,0,ISO-8859-1,1,0,22
1389880517731,2272,S03 - T02 - Login,200,"Number of samples in transaction : 10, number of failing samples : 0",S03-BugClub-Pupil Scenario 3-4,,true,,35453,10,12,0,ISO-8859-1,1,0,26
1389880517723,2362,S03 - T02 - Login,200,"Number of samples in transaction : 10, number of failing samples : 0",S03-BugClub-Pupil Scenario 3-2,,true,,35263,10,12,0,ISO-8859-1,1,0,21
1389880518718,1393,S03 - T02 - Login,200,"Number of samples in transaction : 10, number of failing samples : 0",S03-BugClub-Pupil Scenario 3-9,,true,,34573,10,12,0,ISO-8859-1,1,0,16
1389880518785,1356,S03 - T02 - Login,200,"Number of samples in transaction : 10, number of failing samples : 0",S03-BugClub-Pupil Scenario 3-10,,true,,34573,10,12,0,ISO-8859-1,1,0,24
1389880519679,557,"S03 - T03 - Click on book ""Ballet""",200,"Number of samples in transaction : 2, number of failing samples : 0",S03-BugClub-Pupil Scenario 3-7,,true,,17912,10,12,0,ISO-8859-1,1,0,7
1389880519690,570,"S03 - T03 - Click on book ""Ballet""",200,"Number of samples in transaction : 2, number of failing samples : 0",S03-BugClub-Pupil Scenario 3-3,,true,,17912,10,12,0,ISO-8859-1,1,0,7
1389880519676,600,"S03 - T03 - Click on book ""Ballet""",200,"Number of samples in transaction : 2, number of failing samples : 0",S03-BugClub-Pupil Scenario 3-6,,true,,17912,10,12,0,ISO-8859-1,1,0,13
1389880519681,709,"S03 - T03 - Click on book ""Ballet""",200,"Number of samples in transaction : 2, number of failing samples : 0",S03-BugClub-Pupil Scenario 3-1,,true,,17912,10,12,0,ISO-8859-1,1,0,10
1389880519906,508,"S03 - T03 - Click on book ""Ballet""",200,"Number of samples in transaction : 2, number of failing samples : 0",S03-BugClub-Pupil Scenario 3-8,,true,,17912,10,12,0,ISO-8859-1,1,0,9
1389880519755,662,"S03 - T03 - Click on book ""Ballet""",200,"Number of samples in transaction : 2, number of failing samples : 0",S03-BugClub-Pupil Scenario 3-5,,true,,17911,10,12,0,ISO-8859-1,1,0,8
1389880520112,524,"S03 - T03 - Click on book ""Ballet""",200,"Number of samples in transaction : 2, number of failing samples : 0",S03-BugClub-Pupil Scenario 3-2,,true,,17912,10,12,0,ISO-8859-1,1,0,7
1389880520031,609,"S03 - T03 - Click on book ""Ballet""",200,"Number of samples in transaction : 2, number of failing samples : 0",S03-BugClub-Pupil Scenario 3-4,,true,,17912,10,12,0,ISO-8859-1,1,0,8
1389880520130,544,"S03 - T03 - Click on book ""Ballet""",200,"Number of samples in transaction : 2, number of failing samples : 0",S03-BugClub-Pupil Scenario 3-9,,true,,17912,10,12,0,ISO-8859-1,1,0,7
