timeStamp,elapsed,label,responseCode,responseMessage,dataType,success,failureMessage,bytes,grpThreads,allThreads,Latency,Encoding,SampleCount,ErrorCount,IdleTime
1390213203878,1378,S01 - T01 Launch application,200,"Number of samples in transaction : 1, number of failing samples : 0",,true,,212510,1,4,0,ISO-8859-1,1,0,337
1390213203879,1428,S02 - T01 Launch the application,200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,99908,1,4,0,ISO-8859-1,1,0,361
1390213203963,1465,S03 - T01 - Launch,200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,99910,2,4,0,ISO-8859-1,1,0,275
1390213205345,460,S03 - T01 - Launch,200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,99908,2,4,0,ISO-8859-1,1,0,39
1390213205703,1123,S03 - T02 - Login,200,"Number of samples in transaction : 10, number of failing samples : 0",,true,,16426,3,5,0,ISO-8859-1,1,0,7
1390213206471,550,S03 - T01 - Launch,200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,99910,3,5,0,ISO-8859-1,1,0,22
1390213205845,1219,S03 - T02 - Login,200,"Number of samples in transaction : 10, number of failing samples : 0",,true,,16370,3,5,0,ISO-8859-1,1,0,11
1390213206833,1455,"S03 - T03 - Click on book ""Ballet""",200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,17882,4,6,0,ISO-8859-1,1,0,15
1390213207044,1257,S03 - T02 - Login,200,"Number of samples in transaction : 10, number of failing samples : 0",,true,,16223,4,6,0,ISO-8859-1,1,0,16
1390213207789,510,S03 - T01 - Launch,200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,99909,4,6,0,ISO-8859-1,1,0,21
1390213205602,2736,S01 - T02  Login to the application,200,"Number of samples in transaction : 5, number of failing samples : 0",,true,,126380,1,6,0,ISO-8859-1,1,0,10
1390213207075,1731,"S03 - T03 - Click on book ""Ballet""",200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,17880,4,6,0,ISO-8859-1,1,0,15
1390213208317,797,"S03 - T03 - Click on book ""Ballet""",200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,17882,5,7,0,ISO-8859-1,1,0,8
1390213208940,481,S03 - T01 - Launch,200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,99910,5,7,0,ISO-8859-1,1,0,22
1390213208320,1192,S03 - T02 - Login,200,"Number of samples in transaction : 10, number of failing samples : 0",,true,,16352,5,7,0,ISO-8859-1,1,0,2
1390213208348,1347,S01 - T03  Click on school admin,200,"Number of samples in transaction : 3, number of failing samples : 0",,true,,7586,1,7,0,ISO-8859-1,1,0,5
1390213210149,391,S03 - T01 - Launch,200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,99909,6,8,0,ISO-8859-1,1,0,22
1390213209443,1154,S03 - T02 - Login,200,"Number of samples in transaction : 10, number of failing samples : 0",,true,,15932,6,8,0,ISO-8859-1,1,0,1
1390213209514,1124,"S03 - T03 - Click on book ""Ballet""",200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,17882,6,8,0,ISO-8859-1,1,0,7
1390213210599,721,"S03 - T03 - Click on book ""Ballet""",200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,17882,7,9,0,ISO-8859-1,1,0,57
1390213210562,1099,S03 - T02 - Login,200,"Number of samples in transaction : 10, number of failing samples : 0",,true,,16047,7,9,0,ISO-8859-1,1,0,3
1390213211377,372,S03 - T01 - Launch,200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,99909,7,9,0,ISO-8859-1,1,0,21
1390213211665,479,"S03 - T03 - Click on book ""Ballet""",200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,17882,7,9,0,ISO-8859-1,1,0,6
1390213205669,2375,S02 - T02 Login to the application,200,"Number of samples in transaction : 13, number of failing samples : 0",,true,,17266,1,10,0,ISO-8859-1,1,0,4679
1390213211771,1089,S03 - T02 - Login,200,"Number of samples in transaction : 10, number of failing samples : 0",,true,,16112,8,10,0,ISO-8859-1,1,0,2
1390213212599,332,S03 - T01 - Launch,200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,99910,8,10,0,ISO-8859-1,1,0,30
1390213212863,509,"S03 - T03 - Click on book ""Ballet""",200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,17882,8,10,0,ISO-8859-1,1,0,12
