sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
S01 - T01 Launch application,2,1166,955,1378,955,1378,0.0,1.088139281828074,225.82024874183895
S02 - T01 Launch the application,2,1294,1160,1428,1160,1428,0.0,1.0638297872340425,103.79456865026596
S03 - T01 - Launch,500,1022,437,2342,299,7005,0.0,1.617139086898586,157.77918819819982
S03 - T02 - Login,500,3111,1615,4693,1052,36935,0.0,1.6001536147470157,25.257159062269977
"S03 - T03 - Click on book ""Ballet""",500,1042,766,1902,352,9668,0.0020,1.6053477343727425,28.036275691583803
S01 - T02  Login to the application,2,2919,2736,3103,2736,3103,0.0,0.5537098560354374,68.33882717331119
S01 - T03  Click on school admin,2,1421,1347,1495,1347,1495,0.0,1.0787486515641855,7.991589131607335
S02 - T02 Login to the application,2,2372,2370,2375,2370,2375,0.0,0.643915003219575,11.177333185769479
S02 - T03 Click Search after selecting book,2,590,553,627,553,627,0.0,1.9175455417066154,8.039084971236818
S01 - T04  Click Y3 Tab,2,476,476,477,476,477,0.0,2.395209580838323,65.13145583832336
S01 - T05  Click create pupil,2,495,425,566,425,566,0.5,3.3500837520938025,6.984793760469012
S03 - T04 - Click on Read Book,500,4257,3889,6251,1698,12219,0.0020,1.590558445070064,1999.9600278993892
S01 - T06  Navigate to myclass,2,1124,1104,1144,1104,1144,0.0,1.4054813773717498,120.1041483661279
S01 - T07  Click on create class,2,476,456,497,456,497,0.0,2.5839793281653747,3.8482114018087854
S02 - T04 Select class in allocation pop up,2,897,841,953,841,953,0.0,1.2919896640826873,4.286655159883721
S01 - T08  Click on Y3/P4,2,470,461,480,461,480,0.0,3.5971223021582737,20.15126180305755
S02 - T05 Click allocate button in popup,2,2168,2167,2170,2167,2170,0.0,0.6329113924050633,3.882763053797468
S03 - T05 - Click on Next Page,500,2142,2069,2761,830,5971,0.0,1.5952270805749198,1150.0808331472235
S01 - T09  Create class,2,2837,2818,2856,2818,2856,0.5,0.5711022272986864,93.58658891347802
S01 - T10  Logout,2,570,555,586,555,586,0.0,1.25,15.079345703125
S03 - T06 - Click on Bug Head - page 1,500,1715,1601,2310,293,7433,0.0,1.5970359013670627,841.05993026942
S02 - T06 Click on my class tab,2,1468,1153,1784,1153,1784,0.0,1.0911074740861975,28.02302833469722
S02 - T07 Click student,2,536,507,566,507,566,0.0,1.9230769230769231,2.7334359975961537
S03 - T07 - Click on Back to  Book,500,533,316,1192,0,5012,0.0020,1.6011733398234227,0.9338343137851417
S02 - T08 Click change link,2,605,564,647,564,647,0.0,1.9860973187686195,17.646009185700102
S03 - T08 - Click on Bug Head - page 2,500,2735,2609,3596,667,11880,0.0,1.5906394052281136,1370.0982054555352
S02 - T09 Select one book and click deallocate,2,3416,3262,3570,3262,3570,0.0,0.5302226935312832,9.07229669273595
S02 - T10 Logout,2,513,506,520,506,520,0.0,2.5316455696202533,11.391168908227847
S03 - T09 - Click on Back to Book,500,498,246,1153,0,5569,0.0020,1.6033760686501497,0.9351189865380546
S03 - T10 - Click on Bug Head- page 3,500,2488,2298,3379,910,10321,0.0,1.5751504268657657,1213.0796676629493
S03 - T11 - Click on Back to Book,500,465,210,1118,0,7761,0.0020,1.587578783597136,0.9259057136960421
S03 - T12 - Click on Bug Head - page 4,500,2380,2192,3050,542,9702,0.0020,1.5759994200322134,1049.3984798057345
S03 - T13 - Click on Back to Book,500,409,208,971,0,2757,0.0020,1.5851829776711126,0.9245084347586242
S03 - T14 - Click on Bug Head - page 5,500,2827,2662,3770,1001,11330,0.0,1.574708915057052,1335.2071180189216
S03 - T15 - Click on Back to Book,500,463,237,1019,0,5592,0.0020,1.5855046819953258,0.9246960587524614
S03 - T16 - Click on Bug Head - page 6,500,2483,2335,3249,831,10447,0.0,1.5717586407431274,1201.6340672054523
S03 - T17 - Click on Back to Book,500,441,224,992,0,3475,0.0020,1.5795642298202772,0.9212314756604948
S03 - T18 - Click on Bug Head - page 7,500,2315,2136,3083,746,8514,0.0,1.565616555455704,1151.10431986877
S03 - T19 - Click on Back to Book,500,484,223,1239,0,6900,0.0020,1.5727474324898165,0.9172496480977619
S03 - T20 - Click on Close Book,500,929,581,1843,174,5203,0.0020,1.5718179331851634,3.0186210814578924
S03 - T21 - Click on Smiley,500,846,546,1585,84,4642,0.0020,1.571990895028736,0.923971421795025
S03 - T22 - Click on Finish Button,500,1747,1147,3330,831,9663,0.0,1.570001664201764,4.34153602780944
S03 - T23 - Click on Books I have Read,500,1041,673,2169,409,6904,0.0,1.572336932936685,3.120609740470066
S03 - T24 -Logout,500,1003,671,2007,464,6018,0.0,1.5729898762371566,7.0741655878577765
TOTAL,12040,1556,1195,3130,0,36935,0.0011627906976744186,25.75715113928329,7808.372796422505
