sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
S01 - T01 Launch application,2,1165,1081,1250,1081,1250,0.0,1.2345679012345678,256.2084056712963
S02 - T01 Launch the application,2,1250,1155,1346,1155,1346,0.0,1.1702750146284377,114.18124177150379
S03 - T01 - Launch,600,1649,512,4302,296,7668,0.0,1.9458155237162482,189.84692461829587
S03 - T02 - Login,600,2752,1535,5654,1039,11486,0.0,1.9071594766754396,30.03432241405068
"S03 - T03 - Click on book ""Ballet""",600,3016,2792,5671,463,9375,0.06166666666666667,1.891628597641139,33.074448688786106
S01 - T02  Login to the application,2,3370,3254,3486,3254,3486,0.0,0.5289605924358636,65.43433656770695
S01 - T03  Click on school admin,2,1433,1402,1465,1402,1465,0.0,1.183431952662722,8.767104289940828
S02 - T02 Login to the application,2,2491,2485,2497,2485,2497,0.0,0.6872852233676976,11.92480133161512
S02 - T03 Click Search after selecting book,2,562,536,588,536,588,0.0,2.6990553306342777,11.315473178137651
S01 - T04  Click Y3 Tab,2,458,446,471,446,471,0.0,3.003003003003003,83.85387340465465
S01 - T05  Click create pupil,2,528,507,549,507,549,0.0,2.793296089385475,6.801839647346369
S03 - T04 - Click on Read Book,600,6800,6231,10499,1904,19624,0.06166666666666667,1.806043019944735,2259.0592958021916
S01 - T06  Navigate to myclass,2,1166,1011,1321,1011,1321,0.0,1.514004542013626,129.84437097842545
S01 - T07  Click on create class,2,453,448,458,448,458,0.0,3.6496350364963503,5.435247490875912
S02 - T04 Select class in allocation pop up,2,909,705,1113,705,1113,0.0,1.7969451931716083,5.601415094339623
S01 - T08  Click on Y3/P4,2,479,439,519,439,519,0.0,2.941176470588235,18.4326171875
S02 - T05 Click allocate button in popup,2,2014,1789,2239,1789,2239,0.0,0.8932559178204555,5.305887812639572
S03 - T05 - Click on Next Page,600,4330,4580,6026,996,13347,0.0,1.7944515557894989,1293.7119549400131
S01 - T09  Create class,2,2730,2662,2799,2662,2799,0.0,0.6055101422948834,100.7420455835604
S01 - T10  Logout,2,514,498,530,498,530,0.0,1.8691588785046729,22.548554322429904
S02 - T06 Click on my class tab,2,1148,1052,1244,1052,1244,0.0,1.4727540500736376,29.880798969072163
S03 - T06 - Click on Bug Head - page 1,600,2565,1806,5187,302,13124,0.0,1.7944193558034511,945.0095398622783
S02 - T07 Click student,2,1182,467,1898,467,1898,0.0,1.053740779768177,9.942105999736565
S03 - T07 - Click on Back to  Book,600,575,263,1460,0,4269,0.06166666666666667,1.801671951571058,1.167189597258756
S02 - T08 Click change link,2,663,649,677,649,677,0.0,1.1191941801902632,9.183622167039731
S02 - T09 Select one book and click deallocate,2,2852,2798,2907,2798,2907,0.0,0.48146364949446313,7.75819428562831
S03 - T08 - Click on Bug Head - page 2,600,5066,5012,6753,1264,15429,0.0016666666666666668,1.789074124322761,1540.1878229651518
S02 - T10 Logout,2,543,503,583,503,583,0.0,0.9945300845350571,4.475870990800597
S03 - T09 - Click on Back to Book,600,531,212,1405,0,3774,0.06166666666666667,1.8020507337349905,1.16743498632694
S03 - T10 - Click on Bug Head- page 3,600,4776,4895,6482,911,14569,0.0,1.7901577128945059,1378.6644709030377
S03 - T11 - Click on Back to Book,600,487,179,1281,0,4343,0.06166666666666667,1.8082637654079141,1.1714600175928995
S03 - T12 - Click on Bug Head - page 4,600,2384,2164,2888,537,12553,0.006666666666666667,1.7991813724755237,1197.6038119452523
S03 - T13 - Click on Back to Book,600,497,200,1318,0,4608,0.06166666666666667,1.8102714803796742,1.1727606894645217
S03 - T14 - Click on Bug Head - page 5,600,4955,5059,6740,412,17280,0.0,1.7903606980019573,1518.0598002153283
S03 - T15 - Click on Back to Book,600,566,230,1393,0,9023,0.06166666666666667,1.8039524598395085,1.168666994697883
S03 - T16 - Click on Bug Head - page 6,600,4667,4775,6580,711,16505,0.0,1.8001476121041926,1376.2410207090106
S03 - T17 - Click on Back to Book,600,565,276,1469,0,3246,0.06166666666666667,1.8217203719953,1.1801777040782246
S03 - T18 - Click on Bug Head - page 7,600,4294,4484,6338,429,15455,0.0,1.8028737808066058,1325.5453734268046
S03 - T19 - Click on Back to Book,600,563,283,1374,0,4073,0.06166666666666667,1.8132749861737782,1.174488075639255
S03 - T20 - Click on Close Book,600,1151,683,2418,78,16461,0.06166666666666667,1.8116215522577332,3.3429105917586317
S03 - T21 - Click on Smiley,600,1018,712,2134,76,5005,0.06166666666666667,1.812015474612153,1.0586104663146323
S03 - T22 - Click on Finish Button,600,2136,1488,4141,837,8993,0.0,1.8100748767640686,5.04896877111754
S03 - T23 - Click on Books I have Read,600,1391,853,3150,420,7046,0.0,1.8120592543376168,3.894862694041345
S03 - T24 -Logout,600,1230,807,2558,478,6468,0.0,1.8122398680689378,8.155073507091899
TOTAL,14440,2412,1557,5730,0,19624,0.02853185595567867,29.937885108182744,9071.809663536345
