timeStamp,elapsed,label,responseCode,responseMessage,dataType,success,failureMessage,bytes,grpThreads,allThreads,Latency,Encoding,SampleCount,ErrorCount,IdleTime
1390557303934,1185,S01 - T01 Launch application,200,"Number of samples in transaction : 1, number of failing samples : 0",,true,,212510,1,4,0,ISO-8859-1,1,0,345
1390557304021,1116,S03 - T01 - Launch,200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,99909,2,4,0,ISO-8859-1,1,0,406
1390557303936,1316,S02 - T01 Launch the application,200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,99911,1,4,0,ISO-8859-1,1,0,382
1390557305071,716,S03 - T01 - Launch,200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,99909,2,4,0,ISO-8859-1,1,0,31
1390557306100,586,S03 - T01 - Launch,200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,99910,3,5,0,ISO-8859-1,1,0,24
1390557305543,1873,S03 - T02 - Login,200,"Number of samples in transaction : 10, number of failing samples : 0",,true,,15942,4,6,0,ISO-8859-1,1,0,13
1390557305818,1616,S03 - T02 - Login,200,"Number of samples in transaction : 10, number of failing samples : 0",,true,,16260,4,6,0,ISO-8859-1,1,0,4
1390557307174,658,S03 - T01 - Launch,200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,99910,4,6,0,ISO-8859-1,1,0,21
1390557306710,1181,S03 - T02 - Login,200,"Number of samples in transaction : 10, number of failing samples : 0",,true,,15842,4,6,0,ISO-8859-1,1,0,4
1390557307429,622,"S03 - T03 - Click on book ""Ballet""",200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,17881,4,6,0,ISO-8859-1,1,0,26
1390557307438,654,"S03 - T03 - Click on book ""Ballet""",200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,17882,4,6,0,ISO-8859-1,1,0,7
1390557305465,2829,S01 - T02  Login to the application,200,"Number of samples in transaction : 5, number of failing samples : 0",,true,,118053,1,7,0,ISO-8859-1,1,0,8
1390557307895,519,"S03 - T03 - Click on book ""Ballet""",200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,17882,5,7,0,ISO-8859-1,1,0,7
1390557308197,430,S03 - T01 - Launch,200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,99910,5,7,0,ISO-8859-1,1,0,21
1390557307854,1417,S03 - T02 - Login,200,"Number of samples in transaction : 10, number of failing samples : 0",,true,,16356,6,8,0,ISO-8859-1,1,0,2
1390557308303,1305,S01 - T03  Click on school admin,200,"Number of samples in transaction : 3, number of failing samples : 0",,true,,7586,1,8,0,ISO-8859-1,1,0,4
1390557309213,390,S03 - T01 - Launch,200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,99908,6,8,0,ISO-8859-1,1,0,20
1390557309273,569,"S03 - T03 - Click on book ""Ballet""",200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,17878,6,8,0,ISO-8859-1,1,0,8
1390557308648,1231,S03 - T02 - Login,200,"Number of samples in transaction : 10, number of failing samples : 0",,true,,16202,6,8,0,ISO-8859-1,1,0,3
1390557309882,498,"S03 - T03 - Click on book ""Ballet""",200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,17882,7,9,0,ISO-8859-1,1,0,18
1390557310232,378,S03 - T01 - Launch,200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,99908,7,9,0,ISO-8859-1,1,0,25
1390557309623,1105,S03 - T02 - Login,200,"Number of samples in transaction : 10, number of failing samples : 0",,true,,16197,7,9,0,ISO-8859-1,1,0,3
1390557310731,481,"S03 - T03 - Click on book ""Ballet""",200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,17882,7,9,0,ISO-8859-1,1,0,7
1390557311269,417,S03 - T01 - Launch,200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,99909,8,10,0,ISO-8859-1,1,0,20
1390557310635,1556,S03 - T02 - Login,200,"Number of samples in transaction : 10, number of failing samples : 0",,true,,15828,8,10,0,ISO-8859-1,1,0,3
1390557312194,532,"S03 - T03 - Click on book ""Ballet""",200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,17882,9,11,0,ISO-8859-1,1,0,7
1390557312309,418,S03 - T01 - Launch,200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,99910,9,11,0,ISO-8859-1,1,0,19
1390557305634,2586,S02 - T02 Login to the application,200,"Number of samples in transaction : 13, number of failing samples : 0",,true,,17264,1,11,0,ISO-8859-1,1,0,4587
1390557311706,1132,S03 - T02 - Login,200,"Number of samples in transaction : 10, number of failing samples : 0",,true,,16192,9,11,0,ISO-8859-1,1,0,3
1390557312841,525,"S03 - T03 - Click on book ""Ballet""",200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,17882,10,12,0,ISO-8859-1,1,0,8
1390557313333,393,S03 - T01 - Launch,200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,99908,10,12,0,ISO-8859-1,1,0,19
1390557312747,1131,S03 - T02 - Login,200,"Number of samples in transaction : 10, number of failing samples : 0",,true,,16287,10,12,0,ISO-8859-1,1,0,2
1390557312808,581,S02 - T03 Click Search after selecting book,200,"Number of samples in transaction : 1, number of failing samples : 0",,true,,3800,1,12,0,ISO-8859-1,1,0,914
1390557313880,754,"S03 - T03 - Click on book ""Ballet""",200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,17882,11,13,0,ISO-8859-1,1,0,7
1390557314362,358,S03 - T01 - Launch,200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,99909,11,13,0,ISO-8859-1,1,0,20
1390557309613,429,S01 - T04  Click Y3 Tab,200,"Number of samples in transaction : 1, number of failing samples : 0",,true,,4731,1,13,0,ISO-8859-1,1,0,4927
1390557313745,1266,S03 - T02 - Login,200,"Number of samples in transaction : 10, number of failing samples : 0",,true,,16297,11,13,0,ISO-8859-1,1,0,2
1390557315014,489,"S03 - T03 - Click on book ""Ballet""",200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,17882,12,14,0,ISO-8859-1,1,0,7
1390557315386,437,S03 - T01 - Launch,200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,99911,12,14,0,ISO-8859-1,1,0,18
1390557314740,1145,S03 - T02 - Login,200,"Number of samples in transaction : 10, number of failing samples : 0",,true,,16286,12,14,0,ISO-8859-1,1,0,1
