timeStamp,elapsed,label,responseCode,responseMessage,dataType,success,failureMessage,bytes,grpThreads,allThreads,Latency,Encoding,SampleCount,ErrorCount,IdleTime
1381758118843,1078,S01 - T01 Launch application,200,"Number of samples in transaction : 1, number of failing samples : 0",,true,,212510,1,3,0,ISO-8859-1,1,0,347
1381758118854,1180,S02 - T01 Launch the application,200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,99909,1,3,0,ISO-8859-1,1,0,355
1381758118935,1177,S03 - T01 - Launch,200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,99908,1,3,0,ISO-8859-1,1,0,284
1381758120397,1015,S03 - T02 - Login,200,"Number of samples in transaction : 10, number of failing samples : 0",,true,,16246,1,3,0,ISO-8859-1,1,0,13
1381758121425,487,"S03 - T03 - Click on book ""Ballet""",200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,17882,1,3,0,ISO-8859-1,1,0,7
1381758121992,416,S03 - T01 - Launch,200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,99909,2,4,0,ISO-8859-1,1,0,19
1381758120269,2483,S01 - T02  Login to the application,200,"Number of samples in transaction : 5, number of failing samples : 0",,true,,80612,1,4,0,ISO-8859-1,1,0,9
1381758122427,968,S03 - T02 - Login,200,"Number of samples in transaction : 10, number of failing samples : 0",,true,,15958,2,4,0,ISO-8859-1,1,0,3
1381758123548,493,"S03 - T03 - Click on book ""Ballet""",200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,17882,2,4,0,ISO-8859-1,1,0,9
1381758122761,1316,S01 - T03  Click on school admin,200,"Number of samples in transaction : 3, number of failing samples : 0",,true,,7586,1,4,0,ISO-8859-1,1,0,5
1381758124993,367,S03 - T01 - Launch,200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,99907,3,5,0,ISO-8859-1,1,0,24
1381758125385,970,S03 - T02 - Login,200,"Number of samples in transaction : 10, number of failing samples : 0",,true,,15520,3,5,0,ISO-8859-1,1,0,1
1381758126356,476,"S03 - T03 - Click on book ""Ballet""",200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,17882,3,5,0,ISO-8859-1,1,0,8
