sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
S01 - T01 Launch application,1,1032,1032,1032,1032,1032,0.0,0.9689922480620154,201.09427991763565
S03 - T01 - Launch,173,32304,6143,139764,306,186206,0.0,0.2413773858689586,23.550149683628195
S02 - T01 Launch the application,1,1162,1162,1162,1162,1162,0.0,0.8605851979345955,83.96588586488814
S01 - T02  Login to the application,1,2557,2557,2557,2557,2557,0.0,0.39108330074305825,47.022420072350414
S01 - T03  Click on school admin,1,1394,1394,1394,1394,1394,0.0,0.7173601147776184,5.314349444045911
S02 - T02 Login to the application,1,2286,2286,2286,2286,2286,0.0,0.4374453193350831,6.353209755030621
S03 - T02 - Login,172,14889,5402,19412,1013,150283,0.011627906976744186,0.23985162666815413,7.763627616404736
S02 - T03 Click Search after selecting book,1,528,528,528,528,528,0.0,1.893939393939394,1.2003580729166665
S01 - T04  Click Y3 Tab,1,440,440,440,440,440,0.0,2.2727272727272725,35.4248046875
"S03 - T03 - Click on book ""Ballet""",169,8865,3565,7451,451,136694,0.0,0.23698111302596836,4.1452482241315485
S01 - T05  Click create pupil,1,463,463,463,463,463,0.0,2.1598272138228944,5.260360421166307
S01 - T06  Navigate to myclass,1,1129,1129,1129,1129,1129,0.0,0.8857395925597874,72.35817786758193
S01 - T07  Click on create class,1,414,414,414,414,414,0.0,2.4154589371980677,3.5972410929951693
S02 - T04 Select class in allocation pop up,1,797,797,797,797,797,0.0,1.2547051442910915,4.153760194479297
S03 - T04 - Click on Read Book,145,63614,8750,156868,623,242069,0.0,0.15726203542625602,197.81486753079895
S01 - T08  Click on Y3/P4,1,438,438,438,438,438,0.0,2.28310502283105,8.236123002283104
S02 - T05 Click allocate button in popup,1,1895,1895,1895,1895,1895,0.0,0.5277044854881267,1.357911444591029
S01 - T09  Create class,1,2617,2617,2617,2617,2617,0.0,0.38211692777990064,57.97952689147879
S01 - T10  Logout,1,543,543,543,543,543,0.0,1.8416206261510129,22.216347260589316
S03 - T05 - Click on Next Page,134,27551,9060,85419,178,127165,0.0,0.14324396264111935,103.29293792899696
S02 - T06 Click on my class tab,1,1153,1153,1153,1153,1153,0.0,0.8673026886383347,20.205442324371205
S03 - T06 - Click on Bug Head - page 1,122,58378,41880,151296,282,227538,0.0,0.13046244659861944,68.73712481185872
S02 - T07 Click student,1,524,524,524,524,524,0.0,1.9083969465648853,2.4022692032442747
S02 - T08 Click change link,1,515,515,515,515,515,0.0,1.941747572815534,14.286256067961165
S03 - T07 - Click on Back to  Book,121,5349,311,9910,93,156015,0.0,0.12811743604187006,0.07444323676261004
S02 - T09 Select one book and click deallocate,1,2966,2966,2966,2966,2966,0.0,0.33715441672285906,2.800949827208361
S03 - T08 - Click on Bug Head - page 2,102,29124,1410,88307,281,221060,0.0,0.10589041380312689,91.24294347774745
S02 - T10 Logout,1,591,591,591,591,591,0.0,1.6920473773265652,7.614213197969543
S03 - T09 - Click on Back to Book,101,5554,635,6571,94,152309,0.0,0.10422890731986201,0.06056269517120888
S03 - T10 - Click on Bug Head- page 3,93,22973,3621,85633,282,226962,0.0,0.0933007081824721,71.88435123277323
S03 - T11 - Click on Back to Book,93,3080,809,3836,92,79688,0.0,0.09312739828084819,0.05411211130576629
S03 - T12 - Click on Bug Head - page 4,91,14701,2184,34563,228,167028,0.0,0.09091335956833138,60.58217729441343
S03 - T13 - Click on Back to Book,91,7039,287,27167,92,75080,0.0,0.0908990111985584,0.052817296546037354
S03 - T14 - Click on Bug Head - page 5,81,19447,330,46366,291,229336,0.0,0.08088934337825854,68.61749747439252
S03 - T15 - Click on Back to Book,81,4079,183,4256,93,156126,0.0,0.08088522386733225,0.046998738477600284
S03 - T16 - Click on Bug Head - page 6,73,22703,303,73496,269,301700,0.0,0.07288964507735289,55.74879651738518
S03 - T17 - Click on Back to Book,71,16159,192,60972,134,157191,0.0,0.07097991268471023,0.041243210983791585
S03 - T18 - Click on Bug Head - page 7,69,8263,271,18307,250,157125,0.0,0.081853640944852,60.206088088827215
S03 - T19 - Click on Back to Book,69,2728,185,3136,95,100618,0.0,0.08188919561073911,0.04758210096522439
S03 - T20 - Click on Close Book,69,3578,515,3855,423,57952,0.0,0.08203357669961088,0.15765479713631483
S03 - T21 - Click on Smiley,68,1715,472,1394,406,51516,0.0,0.08097551681432791,0.04760474718967324
S03 - T22 - Click on Finish Button,68,2831,964,2912,828,42980,0.0,0.08093985454632022,0.22988676231654626
S03 - T23 - Click on Books I have Read,68,1079,593,1479,418,9116,0.0,0.08112457752586741,0.17721418834561933
S03 - T24 -Logout,68,1263,554,2526,487,13999,0.0,0.0811996532297162,0.365377449274099
TOTAL,2412,18438,1230,75402,92,301700,8.291873963515755E-4,2.1084727034955892,669.7199433028347
