timeStamp,elapsed,label,responseCode,responseMessage,dataType,success,failureMessage,bytes,grpThreads,allThreads,Latency,Encoding,SampleCount,ErrorCount,IdleTime
1381757184737,1102,S01 - T01 Launch application,200,"Number of samples in transaction : 1, number of failing samples : 0",,true,,212510,1,3,0,ISO-8859-1,1,0,344
1381757184740,1183,S02 - T01 Launch the application,200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,99909,1,3,0,ISO-8859-1,1,0,364
1381757184807,1187,S03 - T01 - Launch,200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,99909,1,3,0,ISO-8859-1,1,0,296
1381757186291,927,S03 - T02 - Login,200,"Number of samples in transaction : 10, number of failing samples : 0",,true,,15950,1,3,0,ISO-8859-1,1,0,16
1381757187234,464,"S03 - T03 - Click on book ""Ballet""",200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,17882,1,3,0,ISO-8859-1,1,0,10
1381757187862,345,S03 - T01 - Launch,200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,99908,2,4,0,ISO-8859-1,1,0,18
1381757186184,2452,S01 - T02  Login to the application,200,"Number of samples in transaction : 5, number of failing samples : 0",,true,,79437,1,4,0,ISO-8859-1,1,0,5
1381757188226,923,S03 - T02 - Login,200,"Number of samples in transaction : 10, number of failing samples : 0",,true,,16177,2,4,0,ISO-8859-1,1,0,3
1381757189152,484,"S03 - T03 - Click on book ""Ballet""",200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,18485,2,4,0,ISO-8859-1,1,0,9
1381757188641,1329,S01 - T03  Click on school admin,200,"Number of samples in transaction : 3, number of failing samples : 0",,true,,7586,1,4,0,ISO-8859-1,1,0,7
1381757190885,367,S03 - T01 - Launch,200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,99909,3,5,0,ISO-8859-1,1,0,18
1381757191270,901,S03 - T02 - Login,200,"Number of samples in transaction : 10, number of failing samples : 0",,true,,16294,3,5,0,ISO-8859-1,1,0,1
1381757192172,534,"S03 - T03 - Click on book ""Ballet""",200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,18224,3,5,0,ISO-8859-1,1,0,16
1381757186288,2326,S02 - T02 Login to the application,200,"Number of samples in transaction : 13, number of failing samples : 0",,true,,18645,1,5,0,ISO-8859-1,1,0,4802
1381757193920,419,S03 - T01 - Launch,200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,99909,4,6,0,ISO-8859-1,1,0,19
1381757193416,533,S02 - T03 Click Search after selecting book,200,"Number of samples in transaction : 1, number of failing samples : 0",,true,,4135,1,6,0,ISO-8859-1,1,0,929
1381757189977,435,S01 - T04  Click Y3 Tab,200,"Number of samples in transaction : 1, number of failing samples : 0",,true,,19619,1,6,0,ISO-8859-1,1,0,4890
1381757194358,967,S03 - T02 - Login,200,"Number of samples in transaction : 10, number of failing samples : 0",,true,,16404,4,6,0,ISO-8859-1,1,0,2
1381757195327,497,"S03 - T03 - Click on book ""Ballet""",200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,17878,4,6,0,ISO-8859-1,1,0,9
1381757196930,383,S03 - T01 - Launch,200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,99908,5,7,0,ISO-8859-1,1,0,18
1381757197331,904,S03 - T02 - Login,200,"Number of samples in transaction : 10, number of failing samples : 0",,true,,15892,5,7,0,ISO-8859-1,1,0,0
1381757187708,2041,S03 - T04 - Click on Read Book,200,"Number of samples in transaction : 12, number of failing samples : 0",,true,,1287676,5,7,0,ISO-8859-1,1,0,9662
1381757198235,1253,"S03 - T03 - Click on book ""Ballet""",200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,17882,5,7,0,ISO-8859-1,1,0,9
1381757189645,886,S03 - T04 - Click on Read Book,200,"Number of samples in transaction : 12, number of failing samples : 0",,true,,1288108,6,8,0,ISO-8859-1,1,0,9787
1381757195302,446,S01 - T05  Click create pupil,200,"Number of samples in transaction : 3, number of failing samples : 0",,true,,2498,1,8,0,ISO-8859-1,1,0,4583
1381757199960,418,S03 - T01 - Launch,200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,99908,6,8,0,ISO-8859-1,1,0,19
1381757200331,956,S01 - T06  Navigate to myclass,200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,39967,1,8,0,ISO-8859-1,1,0,4
1381757200398,1074,S03 - T02 - Login,200,"Number of samples in transaction : 10, number of failing samples : 0",,true,,16226,6,8,0,ISO-8859-1,1,0,3
1381757201475,529,"S03 - T03 - Click on book ""Ballet""",200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,17882,6,8,0,ISO-8859-1,1,0,8
1381757202990,387,S03 - T01 - Launch,200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,99908,7,9,0,ISO-8859-1,1,0,26
1381757201291,422,S01 - T07  Click on create class,200,"Number of samples in transaction : 1, number of failing samples : 0",,true,,1525,1,9,0,ISO-8859-1,1,0,1858
1381757192723,938,S03 - T04 - Click on Read Book,200,"Number of samples in transaction : 12, number of failing samples : 0",,true,,1287893,7,9,0,ISO-8859-1,1,0,10004
1381757203403,967,S03 - T02 - Login,200,"Number of samples in transaction : 10, number of failing samples : 0",,true,,16067,7,9,0,ISO-8859-1,1,0,2
1381757194879,638,S02 - T04 Select class in allocation pop up,200,"Number of samples in transaction : 1, number of failing samples : 0",,true,,3370,1,9,0,ISO-8859-1,1,0,9097
1381757204373,469,"S03 - T03 - Click on book ""Ballet""",200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,17882,7,9,0,ISO-8859-1,1,0,7
1381757206010,417,S03 - T01 - Launch,200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,99909,8,10,0,ISO-8859-1,1,0,23
