sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
TEACHER ID : 100060,3,2,1,7,0,7,0.0,0.0043027038190799095,0.00618513673992737
INSTRUCTOR = 100060,1,0,0,0,0,0,0.0,Infinity,0.0
TEACHER ID : 100061,3,0,0,1,0,1,0.0,0.00430274701712063,0.00618379820331627
INSTRUCTOR = 100061,1,1,1,1,1,1,0.0,1000.0,1437.5
S01_INSTRUCTORREGISTRATIONCLASSCREATION_T01_HOME,2,1684,1238,2131,1238,2131,0.0,0.2786679671171799,7.004117972342205
S01_INSTRUCTORREGISTRATIONCLASSCREATION_T02_ACCESSCODE-NEXT,2,877,494,1261,494,1261,0.0,0.39238767902687854,7.61573137384736
S01_INSTRUCTORREGISTRATIONCLASSCREATION_T03_CREATE,2,248,247,249,247,249,0.0,0.5403944879762226,40.616134152931636
S01_INSTRUCTORREGISTRATIONCLASSCREATION_T04_LICENSEAGREE-NEXT,2,336,172,501,172,501,0.0,0.43075597673917726,6.576600527676072
S01_INSTRUCTORREGISTRATIONCLASSCREATION_T05_INSTRINFO-NEXTT,2,83,82,84,82,84,0.0,1.0940919037199124,0.5748256291028446
S01_INSTRUCTORREGISTRATIONCLASSCREATION_T06_OK,2,1686,1638,1735,1638,1735,0.0,0.5959475566150179,11.44521938319428
S01_INSTRUCTORREGISTRATIONCLASSCREATION_T07_FINISH,2,2199,2157,2241,2157,2241,0.0,0.33517680576504105,7.012690893665159
S01_INSTRUCTORREGISTRATIONCLASSCREATION_T08_LOGOUT,2,812,645,979,645,979,0.0,0.9803921568627451,4.8521752450980395
S01_1_ST01_Login,2,4846,4707,4985,4707,4985,0.0,0.258364552383413,12.183251114197132
S01_1_ST02_SelectLanguage_And_Continue,2,1038,996,1081,996,1081,0.0,0.2985074626865672,1.1689598880597014
S01_1_ST03_ISBN_Search,2,54,48,61,48,61,0.0,0.42689434364994666,1.3832377267876201
S01_1_ST04_Click_On_Book,2,65,59,72,59,72,0.0,0.13819789939192922,0.4183725469872858
S01_1_ST05_Name_And_Create_Class,2,119,96,143,96,143,0.0,0.13776002204160354,0.9438041353836616
S01_1_ST06_Click_On_GoTo_MyClasses,2,409,242,577,242,577,0.0,0.21680216802168023,3.3984375
S01_1_ST07_Refresh_GoTo_MyClasses,2,387,239,535,239,535,0.0,0.1672100994900092,2.6163318545690157
S01_1_ST08_Refresh_Class_Created,2,486,293,679,293,679,0.0,0.2053388090349076,5.054061858316222
S01_1_ST09_Wait_UNTIL_Class_Creation_Is_Complete,2,364453,297137,431769,297137,431769,0.0,0.004532968278287988,5.549904740379908
S01_1_ST10_Click_ClassName,2,502,427,578,427,578,0.0,0.013493273603108851,0.3602466865580008
S01_1_ST11_Click_Assignments,2,2339,1912,2767,1912,2767,0.0,0.013855692957844053,0.24414569910630782
S01_1_ST12_Click_Add_Link,2,523,498,549,498,549,0.0,0.01450662952969507,0.3173183543316796
S01_1_ST13_Click_Post,2,605,418,792,418,792,0.0,0.013985720579288546,0.2635912249218548
S01_1_ST14_Logout,2,1207,966,1448,966,1448,0.0,0.01440341072766031,0.1331471542461255
STUDENT ID : 100060,2,0,0,0,0,0,0.0,0.036473720684247,0.052769352728234305
STUDENT = 100060,2,0,0,0,0,0,0.0,0.03647837744177139,0.052776090019515935
S02_STUDENTREGISTRATIONANDTAKESTEST_T01_HOME,10,404,350,391,271,1031,0.0,0.35029950607769644,8.40079107480646
STUDENT ID : 100061,2,0,0,1,0,1,0.0,0.036450454719422626,0.05273569205744592
STUDENT = 100061,2,0,0,0,0,0,0.0,0.036451119049354816,0.052736653194940586
S02_STUDENTREGISTRATIONANDTAKESTEST_T02_ACCESSCODE-NEXT,10,1039,1032,1096,895,1329,0.0,0.3683105594637398,7.1473469554528375
STUDENT ID : 100062,2,0,0,0,0,0,0.0,0.036441820633358844,0.052723200457344854
STUDENT = 100062,2,0,0,0,0,0,0.0,0.036441820633358844,0.052723200457344854
S02_STUDENTREGISTRATIONANDTAKESTEST_T03_CREATE,10,253,253,256,246,259,0.0,0.35674788626877385,26.866530024793978
S02_STUDENTREGISTRATIONANDTAKESTEST_T04_LICENCEAGREE-NEXT,10,207,174,265,166,430,0.0,0.3576026319553712,5.513156983085396
S02_STUDENTREGISTRATIONANDTAKESTEST_T05_STUDENTDATA-NEXT,10,84,85,87,79,87,0.0,0.3916960438699569,0.20579342929886407
STUDENT ID : 100063,2,0,0,0,0,0,0.0,0.03644049267546097,0.052721279197944754
STUDENT = 100063,2,0,0,0,0,0,0.0,0.03644049267546097,0.052721279197944754
