timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,grpThreads,allThreads,Latency,SampleCount,ErrorCount,IdleTime
1390557868982,7,TEACHER ID : 100060,200,OK,1.     INSTRUCTOR-REGISTRATION 1-1,text,true,1472,1,1,0,1,0,0
1390557869001,0,INSTRUCTOR = 100060,200,OK,1.     INSTRUCTOR-REGISTRATION 1-1,text,true,1472,1,1,0,1,0,0
1390557871994,0,TEACHER ID : 100061,200,OK,1.     INSTRUCTOR-REGISTRATION 1-2,text,true,1471,2,2,0,1,0,0
1390557871996,1,INSTRUCTOR = 100061,200,OK,1.     INSTRUCTOR-REGISTRATION 1-2,text,true,1472,2,2,0,1,0,0
1390557869012,2131,S01_INSTRUCTORREGISTRATIONCLASSCREATION_T01_HOME,200,"Number of samples in transaction : 3, number of failing samples : 0",1.     INSTRUCTOR-REGISTRATION 1-1,,true,25736,2,2,0,1,0,1644
1390557872788,1261,S01_INSTRUCTORREGISTRATIONCLASSCREATION_T02_ACCESSCODE-NEXT,200,"Number of samples in transaction : 2, number of failing samples : 0",1.     INSTRUCTOR-REGISTRATION 1-1,,true,19875,2,2,0,1,0,2073
1390557872002,1238,S01_INSTRUCTORREGISTRATIONCLASSCREATION_T01_HOME,200,"Number of samples in transaction : 3, number of failing samples : 0",1.     INSTRUCTOR-REGISTRATION 1-2,,true,25739,2,2,0,1,0,2949
1390557876122,247,S01_INSTRUCTORREGISTRATIONCLASSCREATION_T03_CREATE,200,"Number of samples in transaction : 1, number of failing samples : 0",1.     INSTRUCTOR-REGISTRATION 1-1,,true,76964,2,2,0,1,0,1021
1390557876190,494,S01_INSTRUCTORREGISTRATIONCLASSCREATION_T02_ACCESSCODE-NEXT,200,"Number of samples in transaction : 2, number of failing samples : 0",1.     INSTRUCTOR-REGISTRATION 1-2,,true,19874,2,2,0,1,0,1201
1390557877897,249,S01_INSTRUCTORREGISTRATIONCLASSCREATION_T03_CREATE,200,"Number of samples in transaction : 1, number of failing samples : 0",1.     INSTRUCTOR-REGISTRATION 1-2,,true,76964,2,2,0,1,0,1677
1390557877395,501,S01_INSTRUCTORREGISTRATIONCLASSCREATION_T04_LICENSEAGREE-NEXT,200,"Number of samples in transaction : 1, number of failing samples : 0",1.     INSTRUCTOR-REGISTRATION 1-1,,true,15634,2,2,0,1,0,2401
1390557880298,82,S01_INSTRUCTORREGISTRATIONCLASSCREATION_T05_INSTRINFO-NEXTT,200,"Number of samples in transaction : 1, number of failing samples : 0",1.     INSTRUCTOR-REGISTRATION 1-1,,true,538,2,2,0,1,0,129
1390557879861,172,S01_INSTRUCTORREGISTRATIONCLASSCREATION_T04_LICENSEAGREE-NEXT,200,"Number of samples in transaction : 1, number of failing samples : 0",1.     INSTRUCTOR-REGISTRATION 1-2,,true,15634,2,2,0,1,0,2005
1390557882039,84,S01_INSTRUCTORREGISTRATIONCLASSCREATION_T05_INSTRINFO-NEXTT,200,"Number of samples in transaction : 1, number of failing samples : 0",1.     INSTRUCTOR-REGISTRATION 1-2,,true,538,2,2,0,1,0,3
1390557880509,1638,S01_INSTRUCTORREGISTRATIONCLASSCREATION_T06_OK,200,"Number of samples in transaction : 4, number of failing samples : 0",1.     INSTRUCTOR-REGISTRATION 1-1,,true,19670,2,2,0,1,0,3
1390557882127,1735,S01_INSTRUCTORREGISTRATIONCLASSCREATION_T06_OK,200,"Number of samples in transaction : 4, number of failing samples : 0",1.     INSTRUCTOR-REGISTRATION 1-2,,true,19662,2,2,0,1,0,3
1390557882150,2157,S01_INSTRUCTORREGISTRATIONCLASSCREATION_T07_FINISH,200,"Number of samples in transaction : 4, number of failing samples : 0",1.     INSTRUCTOR-REGISTRATION 1-1,,true,21426,2,2,0,1,0,2761
1390557887068,645,S01_INSTRUCTORREGISTRATIONCLASSCREATION_T08_LOGOUT,200,"Number of samples in transaction : 1, number of failing samples : 0",1.     INSTRUCTOR-REGISTRATION 1-1,,true,5068,2,2,0,1,0,78
1390557883865,2241,S01_INSTRUCTORREGISTRATIONCLASSCREATION_T07_FINISH,200,"Number of samples in transaction : 4, number of failing samples : 0",1.     INSTRUCTOR-REGISTRATION 1-2,,true,21423,1,1,0,1,0,2011
1390557888117,979,S01_INSTRUCTORREGISTRATIONCLASSCREATION_T08_LOGOUT,200,"Number of samples in transaction : 1, number of failing samples : 0",1.     INSTRUCTOR-REGISTRATION 1-2,,true,5068,1,1,0,1,0,12
1390557889137,1,TEACHER ID : 100060,200,OK,2.     INSTRUCTOR-CREATES-A-CLASS 2-1,text,true,1472,1,1,0,1,0,0
1390557892169,0,TEACHER ID : 100061,200,OK,2.     INSTRUCTOR-CREATES-A-CLASS 2-2,text,true,1472,2,2,0,1,0,0
1390557889152,4985,S01_1_ST01_Login,200,"Number of samples in transaction : 5, number of failing samples : 0",2.     INSTRUCTOR-CREATES-A-CLASS 2-1,,true,48287,2,2,0,1,0,23
1390557894160,996,S01_1_ST02_SelectLanguage_And_Continue,200,"Number of samples in transaction : 1, number of failing samples : 0",2.     INSTRUCTOR-CREATES-A-CLASS 2-1,,true,4011,2,2,0,1,0,1068
1390557896224,61,S01_1_ST03_ISBN_Search,200,"Number of samples in transaction : 1, number of failing samples : 0",2.     INSTRUCTOR-CREATES-A-CLASS 2-1,,true,3316,2,2,0,1,0,0
1390557892170,4707,S01_1_ST01_Login,200,"Number of samples in transaction : 5, number of failing samples : 0",2.     INSTRUCTOR-CREATES-A-CLASS 2-2,,true,48287,2,2,0,1,0,16
1390557896893,1081,S01_1_ST02_SelectLanguage_And_Continue,200,"Number of samples in transaction : 1, number of failing samples : 0",2.     INSTRUCTOR-CREATES-A-CLASS 2-2,,true,4009,2,2,0,1,0,2886
1390557900860,48,S01_1_ST03_ISBN_Search,200,"Number of samples in transaction : 1, number of failing samples : 0",2.     INSTRUCTOR-CREATES-A-CLASS 2-2,,true,3320,2,2,0,1,0,1
1390557896285,72,S01_1_ST04_Click_On_Book,200,"Number of samples in transaction : 1, number of failing samples : 0",2.     INSTRUCTOR-CREATES-A-CLASS 2-1,,true,3098,2,2,0,1,0,9329
1390557900909,59,S01_1_ST04_Click_On_Book,200,"Number of samples in transaction : 1, number of failing samples : 0",2.     INSTRUCTOR-CREATES-A-CLASS 2-2,,true,3102,2,2,0,1,0,9789
1390557905686,96,S01_1_ST05_Name_And_Create_Class,200,"Number of samples in transaction : 1, number of failing samples : 0",2.     INSTRUCTOR-CREATES-A-CLASS 2-1,,true,7015,2,2,0,1,0,8087
1390557913870,242,S01_1_ST06_Click_On_GoTo_MyClasses,200,"Number of samples in transaction : 4, number of failing samples : 0",2.     INSTRUCTOR-CREATES-A-CLASS 2-1,,true,16079,2,2,0,1,0,2759
1390557916872,239,S01_1_ST07_Refresh_GoTo_MyClasses,200,"Number of samples in transaction : 2, number of failing samples : 0",2.     INSTRUCTOR-CREATES-A-CLASS 2-1,,true,16019,2,2,0,1,0,2670
1390557919781,293,S01_1_ST08_Refresh_Class_Created,200,"Number of samples in transaction : 3, number of failing samples : 0",2.     INSTRUCTOR-CREATES-A-CLASS 2-1,,true,25203,2,2,0,1,0,4
